ground_data_tree_id,aerial_data_tree_id,stem_id,species,stem_diameter,agb,score,aerial_data_height,area,UTM_2018_X,UTM_2018_Y,left,bottom,right,top,tree_status,census_codes,adbin,gdbin
5505,477b6a6f-f6aa-4e3e-9910-f5ea08778564,5505,litu,723.0,862704.305011306,0.6796708703041077,34.6939995,80.91000000604895,747450.8,4308840.7,747445.8,4308832.1,747454.5,4308841.4,A,main,5,5
11711,8b3efba5-2b9c-4b3b-9d9e-2013f84a1294,11711,litu,260.0,78058.6828985956,0.679583728313446,26.6879994,74.52000000129453,747578.2,4308511.3,747577.8,4308505.8,747585.9,4308515.0,A,main,5,5
28670,83dfbae0-7747-44d4-a433-e30196b9ee54,28670,litu,201.0,42641.4419558358,0.6791570782661438,30.022,31.35000000038417,747737.7,4308906.0,747732.6,4308902.9,747738.3,4308908.4,A,main,5,5
12714,da02b428-d0aa-4a5a-885f-64acf60a21a0,12714,litu,681.0,749554.089932406,0.6782938241958618,40.0608014,96.99999999953434,747569.2,4308676.7,747559.8,4308671.5,747569.5,4308681.5,A,F,5,5
14603,cd504fbd-6fbf-451d-a93b-6f034651f3f8,14603,quru,832.0,919316.524130536,0.67745441198349,36.8899994,101.75999999741092,747598.4,4308792.0,747598.2,4308791.0,747607.8,4308801.6,A,main,5,5
23230,ebe7510d-9048-4e73-bbbe-2181a03ba1d0,23230,litu,739.0,908226.088461883,0.6773172616958618,42.3821997,151.0399999967916,747689.7,4308724.4,747685.3,4308717.5,747698.1,4308729.3,A,main,5,5
2983,8cca2c0f-de7d-4fc9-8137-38423269625a,2983,litu,676.0,736689.534334352,0.6772018074989319,40.8519989,78.12000000647502,747410.6,4308787.5,747409.2,4308779.6,747417.6,4308788.9,A,main,5,5
9927,b996536b-a9f4-44fa-bef4-bbfc26c952fd,9927,cofl,55.0,2098.46890626857,0.6762771606445312,28.1603999,29.70000000204891,747531.3,4308868.3,747527.9,4308863.5,747533.4,4308868.9,A,main,4,4
19906,c296b341-2011-4a86-b2ef-2feac217eda0,19906,juni,463.0,343077.5633057,0.6750197410583496,32.2526,105.06000000120606,747649.0,4308830.0,747647.8,4308825.0,747658.1,4308835.2,A,main,5,5
16396,7f6f37d5-3950-470b-a3cb-89fb2ac6e2ee,16396,caovl,252.0,77372.3742430828,0.6720049381256104,33.6106999,64.73999999796739,747602.0,4308714.0,747595.3,4308713.7,747603.1,4308722.0,A,F,5,5
14521,749be4a6-0fe1-4c4b-93fc-4eee58065aac,14521,litu,861.0,1300424.44138734,0.6709305047988892,38.9211982,102.60000000044238,747584.8,4308714.3,747580.0,4308708.8,747590.8,4308718.3,A,F,5,5
14186,1d82e363-c5c2-4a40-bdc6-9f37829668b7,14186,quve,770.0,775271.880867196,0.6707791090011597,36.5599991,79.16999999403022,747588.4,4308599.3,747582.7,4308596.4,747591.8,4308605.1,A,F,5,5
4296,9065845f-4380-4947-8560-39d78e93c360,4296,litu,697.0,791582.923983789,0.6686769723892212,37.4311003,97.00000000186265,747422.2,4308861.4,747420.7,4308853.0,747430.7,4308862.7,A,main,5,5
26985,3f193147-1468-4ea3-8fa1-1a1d9f4c5fa8,26985,qupr,199.0,40270.0380408705,0.6672475337982178,29.9875002,39.64999999984866,747729.0,4308907.5,747726.6,4308907.3,747732.7,4308913.8,A,main,5,5
30058,76768686-7186-4f1a-8503-f7bc8db9710b,30058,caco,371.0,187208.866622917,0.666189968585968,27.8939995,68.87999999297783,747780.4,4308708.9,747777.3,4308701.4,747785.7,4308709.6,A,main,5,5
16513,3abfcb3d-3edd-4003-9c0e-b1f994d80582,16513,litu,269.0,84555.1700433119,0.666090726852417,34.6998011,31.8000000002794,747611.4,4308795.7,747608.0,4308791.2,747613.3,4308797.2,A,main,5,5
21317,891790fe-afbc-46d3-a15d-249e22621fa8,21317,litu,570.0,493484.509034862,0.6656822562217712,30.5827999,103.02000000164378,747675.8,4308565.7,747673.1,4308557.1,747683.2,4308567.3,A,main,5,5
8537,2d0a44ab-cd27-4570-9f9f-ae83148f48f1,8537,qual,600.0,449018.203046122,0.663378119468689,33.9511006,84.39000000116881,747512.6,4308716.8,747504.9,4308709.3,747513.6,4308719.0,A,F,5,5
14442,ea30a43c-7782-4a32-a609-e6099de0e950,14442,litu,476.0,323150.682991532,0.661410927772522,37.0894989,36.58000000052154,747594.3,4308707.7,747590.3,4308704.1,747596.2,4308710.3,A,F,5,5
21682,13aafb1b-b1a5-4a06-b4d9-08d674abe9e2,21682,ulru,155.0,27324.5162503021,0.6613301634788513,38.3660009,58.32000000364613,747671.0,4308764.8,747667.8,4308757.8,747675.0,4308765.9,A,main,5,5
5725,c62f98e9-f4e2-4396-9601-43956b515fb7,5725,cagl,62.0,3142.57666651856,0.6606911420822144,33.3003996,24.499999997206032,747438.2,4308964.2,747437.0,4308960.7,747442.0,4308965.6,A,main,4,4
